Law ID,State,State Postal Abbreviation,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Year,Effective Date Month,Effective Date Day,Statutory Citation,Content,Supersession Date,Supersession Date Year,Supersession Date Month,Supersession Date Day,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Exception Code
PA1015,Pennsylvania,PA,42,7,minimum age,youth possession,long gun,Restrictive,Implement,1995-10-13,,1995,10,13,18 Pa. Cons. Stat. Ann. § 6110.1(a),"§ 6110.1.  Possession of firearm by minor.
(a)  Firearm. --
Except as provided in subsection (b), a person under 18 years of age shall not possess or transport a firearm anywhere in this Commonwealth.
(b)  Exception. --
Subsection (a) shall not apply to a person under 18 years of age:
     (1) who is under the supervision of a parent, grandparent, legal guardian or an adult acting with the expressed consent of the minor's custodial parent or legal guardian and the minor is engaged in lawful activity, including safety training, lawful target shooting, engaging in an organized competition involving the use of a firearm or the firearm is unloaded and the minor is transporting it for a lawful purpose; or
     (2) who is lawfully hunting or trapping in accordance with 34 Pa.C.S. (relating to game).",,,,,,18,,,,
PA1016,Pennsylvania,PA,42,7,minimum age,youth possession,handgun,,,,,,,,,No law imposing minimum age for youth possession of handguns,1995-10-13,1995,10,13,1,,,,,H
PA1017,Pennsylvania,PA,42,7,minimum age,purchase and sale,long gun,Restrictive,Implement,1939-01-01,"Not sure about day + month, so using January 1.",1939,1,1,Pa. Session Laws 1939 § 626,"Whoever knowingly and wilfully sells or causes to be sold, to any person under sixteen years of age, any deadly weapon…",1973-06-06,1973,6,6,,16,,,,
PA1018,Pennsylvania,PA,42,7,minimum age,purchase and sale,long gun,Restrictive,Modify,1973-06-06,,1973,6,6,18 Pa. Cons. Stat. Ann. § 6110.1(c); 18 Pa. Cons. Stat. Ann. § 6302(a),"§ 6110.1(c) Responsibility of adult. --
Any person who knowingly and intentionally delivers or provides to the minor a firearm in violation of subsection
(a) commits a felony of the third degree.
§ 6302.  Sale or lease of weapons and explosives.
(a)  Offense defined. --
A person is guilty of a misdemeanor of the first degree if he sells or causes to be sold or leases to any person under 18 years of age any deadly weapon, cartridge, gunpowder, or other similar dangerous explosive substance.
(b)  Exception. --
The provisions of subsection (a) shall not prohibit hunting by minors under 18 years of age permitted under Title 34 (relating to game).",,,,,1,18,,,,
PA1020,Pennsylvania,PA,42,8,open carry,limited,handgun,Permissive,Implement,1973-06-06,,1973,6,6,18 Pa. Cons. Stat. Ann. § 6108,"No person shall carry a firearm, rifle or shotgun at any time upon the public streets or upon any public property in a city of the first class unless:
(1) such person is licensed to carry a firearm; or
(2) such person is exempt from licensing under section 6106(b) of this title (relating to firearms not to be carried without a license).",,,,,1,,,,,
PA1021,Pennsylvania,PA,42,11,registration,,handgun,Restrictive,Implement,1995-10-11,,1995,10,11,8 Pa. Cons. Stat. Ann. § 6111(b),"No licensed importer, licensed manufacturer or licensed dealer shall sell or deliver any firearm to another person, other than a licensed importer, licensed manufacturer, licensed dealer or licensed collector, until the conditions of subsection (a) have been satisfied and until he has: For purposes of a firearm as defined in section 6102 (relating to definitions), obtained a completed application/record of sale from the potential buyer or transferee to be filled out in triplicate, the original copy to be sent to the Pennsylvania State Police, postmarked via first class mail, within 14 days of the sale, one copy to be retained by the licensed importer, licensed manufacturer or licensed dealer for a period of 20 years and one copy to be provided to the purchaser or transferee.",,,,,,,,"8 Pa. Cons. Stat. Ann. § 6111(b)(f): The provisions contained in subsections (a) and (c) shall only apply to pistols or revolvers with a barrel length of less than 15 inches, any shotgun with a barrel length of less than 18 inches, any rifle with a barrel length of less than 16 inches or any firearm with an overall length of less than 26 inches.",Pennslyvania law requires dealers to process sales by private sellers and follow all the same regulations. 18 Pa. Cons. Stat. Ann. § 6111(c).,
PA1022,Pennsylvania,PA,42,11,registration,,handgun,,,,,,,,,No law requiring registration of handguns,1995-10-11,1995,10,11,1,,,,,
PA1023,Pennsylvania,PA,42,13,waiting period,,handgun,Restrictive,Implement,1973-06-06,,1973,6,6,"Pa. Stat. Ann. tit. 18, § 6111","No seller shall deliver a firearm to the purchaser thereof until 48 hours shall have elapsed from the time of the application for the purchase thereof, and when delivered, said firearm shall be securely wrapped and shall be unloaded",1998-11-30,1998,11,30,1,,2,See Pa. H.B 110 (1995) for older law.,,
PA1024,Pennsylvania,PA,42,1,background checks,sales from dealer,long gun,,,,,,,,,No law requiring background checks for sales from dealers of long guns,1998-07-01,1998,7,1,1,,,,,
PA1025,Pennsylvania,PA,42,1,background checks,private sales,handgun,Restrictive,Implement,1998-07-01,Using date that the Pennsylvania Instant Checks System (PICS) came online,1998,7,1,18 Pa. Cons. Stat. Ann. § 6111,"(b)  Duty of seller.
No licensed importer, licensed manufacturer or licensed dealer shall sell or deliver any firearm to another person, other than a licensed importer, licensed manufacturer, licensed dealer or licensed collector, until the conditions of subsection (a) have been satisfied and until he has: 
...  (3) Requested by means of a telephone call that the Pennsylvania State Police conduct a criminal history, juvenile delinquency history and a mental health record check. The purchaser and the licensed dealer shall provide such information as is necessary to accurately identify the purchaser. The requester shall be charged a fee equivalent to the cost of providing the service but not to exceed $ 2 per buyer or transferee.""(c) Duty of other persons.
Any person who is not a licensed importer, manufacturer or dealer and who desires to sell or transfer a firearm to another unlicensed person shall do so only upon the place of business of a licensed importer, manufacturer, dealer or county sheriff's office, the latter of whom shall follow the procedure set forth in this section as if he were the seller of the firearm. The provisions of this section shall not apply to transfers between spouses or to transfers between a parent and child or to transfers between grandparent and grandchild.",,,,,,,,"Vernick and Hepburn (2003) say handguns, but the law has always referred to firearms in general.",,
PA1026,Pennsylvania,PA,42,1,background checks,private sales,long gun,,,,,,,,,No law requiring background checks for private sales of long guns,,,,,1,,,,,
PA1027,Pennsylvania,PA,42,4,child access laws,negligent storage,handgun and long gun,,,,,,,,,No law imposing child access laws - negligent storage (CAP),,,,,1,,,,,
PA1028,Pennsylvania,PA,42,4,child access laws,"intentional, reckless, or knowing provision",handgun and long gun,,,,,,,,,"No law imposing child access laws - intentional, reckless, or knowing provision",1995-10-11,1995,10,11,1,,,,,
PA1029,Pennsylvania,PA,42,11,registration,,long gun,,,,,,,,,No law requiring registration of long guns,,,,,1,,,,,
PA1030,Pennsylvania,PA,42,7,minimum age,youth possession,handgun,Restrictive,Implement,1995-10-13,,1995,10,13,18 Pa. Cons. Stat. Ann. § 6110.1(a),"§ 6110.1.  Possession of firearm by minor.
(a)  Firearm. --
Except as provided in subsection (b), a person under 18 years of age shall not possess or transport a firearm anywhere in this Commonwealth.
(b)  Exception. --
Subsection (a) shall not apply to a person under 18 years of age:
     (1) who is under the supervision of a parent, grandparent, legal guardian or an adult acting with the expressed consent of the minor's custodial parent or legal guardian and the minor is engaged in lawful activity, including safety training, lawful target shooting, engaging in an organized competition involving the use of a firearm or the firearm is unloaded and the minor is transporting it for a lawful purpose; or
     (2) who is lawfully hunting or trapping in accordance with 34 Pa.C.S. (relating to game).",,,,,,18,,,,
PA1031,Pennsylvania,PA,42,7,minimum age,purchase and sale,handgun,Restrictive,Implement,1939-01-01,"Not sure about day + month, so using January 1.",1939,1,1,Pa. Session Laws 1939 § 626,"Whoever knowingly and wilfully sells or causes to be sold, to any person under sixteen years of age, any deadly weapon…",1973-06-06,1973,6,6,,16,,,,
PA1032,Pennsylvania,PA,42,7,minimum age,purchase and sale,handgun,Restrictive,Modify,1973-06-06,,1973,6,6,18 Pa. Cons. Stat. Ann. § 6110.1(c); 18 Pa. Cons. Stat. Ann. § 6302(a),"§ 6110.1(c) Responsibility of adult. --
Any person who knowingly and intentionally delivers or provides to the minor a firearm in violation of subsection
(a) commits a felony of the third degree.
§ 6302.  Sale or lease of weapons and explosives.
(a)  Offense defined. --
A person is guilty of a misdemeanor of the first degree if he sells or causes to be sold or leases to any person under 18 years of age any deadly weapon, cartridge, gunpowder, or other similar dangerous explosive substance.
(b)  Exception. --
The provisions of subsection (a) shall not prohibit hunting by minors under 18 years of age permitted under Title 34 (relating to game).",,,,,1,18,,,,
PA1033,Pennsylvania,PA,42,13,waiting period,,handgun,Permissive,Repeal,1998-11-30,,1998,11,30,"Pa. Stat. Ann. tit. 18, § 6111",Repealed.,,,,,,,,"Although the provision is still in effect, Pennsylvania abandoned its waiting period in 1998 when instant checks became available, via NICS. (Luca, Malhotra, and Poliquin 2017)",,
PA1034,Pennsylvania,PA,42,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement,1995-10-11,,1995,10,11,18 Pa.C.S.A. § 6105,"A person who has been convicted of an offense enumerated in subsection (b), within or without this Commonwealth, regardless of the length of sentence or whose conduct meets the criteria in subsection (c) shall not possess, use, control, sell, transfer or manufacture or obtain a license to possess, use, control, sell, transfer or manufacture a firearm in this Commonwealth. c) Other persons...The following persons shall be subject to the prohibition of subsection (a): (4) A person who has been adjudicated as an incompetent or who has been involuntarily committed to a mental institution for inpatient care and treatment under section 302, 303 or 304 of the provisions of the act of July 9, 1976 (P.L. 817, No. 143),2 known as the Mental Health Procedures Act. This paragraph shall not apply to any proceeding under section 302 of the Mental Health Procedures Act unless the examining physician has issued a certification that inpatient care was necessary or that the person was committable.",,,,,,,,"Upon application to the court of common pleas under this subsection by an applicant subject to the prohibitions under subsection (c)(4), the court may grant such relief as it deems appropriate if the court determines that the applicant may possess a firearm without risk to the applicant or any other person.",,
